GrLivArea,BedroomAbvGr,FullBath,SalePrice
2595,1,2,346979
1004,5,3,253267
1216,4,3,257278
1549,3,1,254497
1248,4,3,262257
724,1,1,106206
1534,1,1,221580
968,4,1,160680
1736,4,2,264970
1040,1,2,197065
2274,3,1,285155
1108,5,3,287385
1338,5,1,209273
1906,4,3,304846
884,5,1,181364
1613,1,3,290321
2153,1,2,326659
696,4,3,220000
1592,4,1,233933
1629,4,2,303451
1890,3,3,357102
881,5,3,222794
839,4,3,228669
1760,2,3,308111
1648,2,3,305687
1625,1,2,254651
1673,5,2,302672
1159,4,2,250326
1616,2,2,245482
1646,5,1,285807
1142,1,2,228442
2432,3,3,430202
1736,5,3,298092
904,5,2,215781
1828,3,3,291777
1012,5,2,182618
1893,1,3,321111
2079,1,1,270706
1089,3,1,195787
1981,4,2,337632
1706,2,2,302617
1911,4,2,321288
2448,5,3,477747
1377,2,2,247598
1123,3,1,230379
1055,3,3,199393
1092,2,2,237114
1461,1,3,267094
1670,2,3,264733
1638,5,2,308590
1913,1,3,314370
1506,3,1,247261
2226,2,1,325081
1367,4,3,260586
2860,4,2,444898
1812,5,3,349449
1071,4,1,224866
964,2,3,221937
1741,2,3,302101
1388,4,1,233221
1857,2,3,326307
1736,5,3,327704
1463,1,2,231003
1076,5,2,213822
742,5,1,162927
1276,2,1,213886
1928,1,1,259332
1607,2,2,286951
877,3,1,162761
1586,2,1,205829
1692,2,1,258065
1058,2,2,192907
1576,1,3,278692
1529,2,1,252941
928,1,3,188862
1678,4,1,267874
1780,3,3,324989
2041,1,2,318528
2026,4,2,349963
811,1,1,144486
1031,1,3,216202
1757,3,2,302737
1756,5,1,309873
1757,5,1,282724
3426,1,2,451514
1785,2,2,294113
2067,4,1,308144
1977,2,3,310715
1825,2,3,325536
1342,1,3,230684
1879,1,1,264179
1113,1,2,186487
1381,1,1,202647
1257,5,2,266081
1540,1,3,328478
2657,5,3,457124
566,5,2,209555
1843,1,2,320164
693,3,1,156015
1264,4,3,284753
2044,2,1,263505
1532,5,1,256187
961,4,1,171248
1142,3,3,247598
1839,2,1,299703
1134,2,1,187032
1608,5,1,249362
1522,1,1,244910
1174,3,1,218245
2571,5,1,392963
1816,3,3,289637
500,1,1,143973
1593,1,2,244059
1169,5,1,234149
1926,1,1,312335
1103,4,3,304436
1442,2,3,259068
1752,5,2,283829
1932,3,2,341126
899,4,3,241731
1332,5,3,286502
1262,1,1,201244
1173,1,3,235772
2382,1,2,356046
1702,1,1,238559
869,3,2,210037
1958,4,1,277489
2561,2,3,430199
2016,3,2,335712
740,3,1,164325
1257,2,1,175916
2133,2,3,388622
1146,1,3,235785
1721,3,3,333870
1887,5,2,321113
1036,2,1,179177
1470,2,3,287642
500,4,2,108601
987,5,2,240218
1373,5,2,310336
876,2,3,227155
2316,1,3,345605
784,4,1,179239
1279,5,1,251879
1565,2,3,302399
2220,5,2,362717
782,4,2,191177
2081,4,2,333983
1505,3,1,249505
1009,2,2,172847
1731,4,1,262972
1599,3,1,277802
1199,3,2,264573
1534,5,2,259177
1307,5,3,271141
1556,3,3,295747
1831,5,2,339261
2293,4,1,295680
881,1,1,145813
2566,4,1,352776
523,3,1,154049
1424,3,1,193101
1794,4,3,339190
1640,5,2,292527
1188,5,3,310075
1395,3,1,235403
1253,2,1,186113
1205,5,1,239617
1924,4,1,283863
1678,5,2,324566
1153,4,1,202088
1949,3,2,335483
1653,5,1,280551
1906,4,2,384869
1814,3,3,328482
1085,2,1,187007
1219,4,2,234501
1873,2,3,326083
1805,2,1,204513
1489,1,1,223101
1558,5,1,288237
2138,4,2,353112
1204,2,2,196162
1773,1,3,288994
1398,3,2,205176
1391,4,2,282588
2049,2,1,265259
1912,5,1,299745
1906,1,1,256585
2152,2,1,326474
1510,5,1,257805
1840,2,1,278577
1344,4,1,238769
1662,4,3,350008
1434,4,3,292957
1548,1,3,317672
1797,4,3,297956
1090,5,1,227049
2546,2,3,382727
996,3,1,169705
892,5,3,259508
2079,5,2,359918
1895,4,3,360578
1812,1,3,281596
1814,2,1,288520
1493,1,3,256217
1051,2,2,190264
1537,2,1,241827
1161,1,1,171975
1987,5,3,374735
1426,2,1,173727
1087,1,1,175256
1339,2,1,211646
1706,3,1,247462
1218,5,1,182498
1088,4,1,195423
1621,2,2,267562
1622,3,3,301075
1246,4,2,210336
1264,4,1,250934
1616,2,1,224982
775,1,3,190805
796,2,2,129370
1140,3,3,287297
1393,4,2,253899
1655,2,1,244019
2237,1,3,378484
1928,2,3,318553
1420,5,1,265464
1490,1,3,232673
998,3,2,220799
1490,4,2,305344
1355,2,2,227441
1661,1,2,285087
1086,5,1,246138
1759,1,3,298393
2266,5,2,362509
1445,3,1,210984
1700,4,3,316805
1845,3,3,316642
1299,2,1,184907
1612,1,1,251296
1506,5,2,269861
1548,5,3,325450
1113,1,3,233194
1512,1,1,246281
1748,2,3,302216
2225,3,2,352372
1979,5,3,383511
2576,2,1,373154
1116,3,1,182404
1936,2,2,290602
1591,5,2,273774
2594,1,3,440065
1095,1,3,258139
1080,3,1,187955
1200,4,2,280628
500,3,2,152962
1237,4,2,260558
1120,2,3,243403
1575,2,2,271206
1670,5,1,279535
2438,4,1,339680
1975,5,3,389099
1211,1,3,257529
1050,4,2,246053
1745,3,3,328354
839,1,1,124158
2415,1,2,379837
2089,3,1,294538
1265,1,2,226431
643,4,3,223437
2176,5,2,366508
1442,1,2,256928
2118,4,1,334447
702,2,1,132723
1200,4,2,274509
1502,5,3,309881
1523,4,3,314264
1274,3,1,202386
1811,5,3,335740
966,2,1,187143
1428,3,3,349517
1560,4,2,274364
1757,5,1,307576
1855,2,1,257531
937,3,2,202860
732,2,1,175671
2138,4,3,353709
1666,2,3,276496
1125,1,1,172006
2275,3,3,393523
1557,2,1,240543
2089,4,2,347003
1533,4,1,249312
2530,2,2,384030
2377,4,3,343196
1375,5,2,256233
1985,5,3,366477
1822,5,1,304510
2184,1,3,380035
1017,2,1,154168
1843,1,1,281871
2029,4,2,324138
620,1,2,145601
908,4,2,221508
500,4,2,160935
1365,3,3,302352
1858,5,3,346287
2251,4,3,379819
1537,3,1,260109
2314,5,3,389277
809,4,3,233968
648,4,3,178070
1472,1,2,278312
1692,1,3,320251
1483,5,1,308132
500,4,2,191767
1455,2,1,197456
847,1,3,216542
1834,5,2,303379
1683,4,1,296690
1030,4,3,231277
1243,2,1,173746
970,5,1,164503
1468,4,1,231712
1977,1,3,313680
1007,2,3,205537
1752,5,1,322516
1234,2,2,236337
1103,1,2,209574
1446,5,3,340843
982,2,3,233145
1223,3,3,249556
901,1,3,175105
2482,1,3,366918
1517,1,2,276978
1150,3,3,231393
1606,3,1,253722
1443,4,1,259408
1389,2,2,248496
1807,4,1,286749
1878,2,2,309692
1234,3,2,243325
1212,3,1,235501
1362,4,3,269014
500,5,1,149808
742,4,1,125255
2183,2,2,288655
2322,4,1,333786
1375,1,2,242117
1788,2,3,349293
1655,2,3,350445
3039,5,3,510687
2059,3,1,311033
1436,2,2,251159
1022,3,3,211795
696,4,2,183639
1601,1,2,281917
1121,5,3,291275
788,3,3,190953
1176,2,2,231640
959,3,3,246057
2343,2,2,354727
1940,3,2,312842
1496,2,3,297871
2239,4,1,340236
1538,2,3,276350
1069,2,1,186690
2261,1,2,324922
1769,2,2,254845
981,1,1,146677
1404,5,2,243166
1062,1,1,186421
808,4,1,175997
1963,1,2,288820
2454,5,1,388350
800,4,3,229359
1781,3,3,297285
1174,3,2,220350
1256,1,2,250817
1203,1,1,168940
1068,5,1,212984
1524,5,1,272517
1084,2,1,191038
1635,5,3,378839
1474,2,3,258613
1380,4,2,240270
1046,1,1,141864
1211,4,1,207291
1877,5,2,348457
1750,4,1,251865
1011,4,1,213477
1549,4,1,251092
1875,5,1,274070
665,4,1,118122
1771,2,2,254258
1168,5,1,205162
1785,4,2,302966
1118,5,1,239901
597,3,3,211651
686,2,3,178681
1524,4,3,315813
1629,3,3,342220
1047,3,2,252648
1819,5,2,313801
669,3,1,162755
1466,2,3,309059
894,2,2,158198
1174,1,1,168891
1523,2,1,271930
1069,3,2,211569
1307,2,3,205190
2003,5,1,307910
1211,1,3,265702
1917,3,3,341000
935,1,3,227157
1764,3,1,282804
2220,5,3,387101
500,1,1,94612
1101,4,3,264178
1788,3,1,270235
1398,4,3,294861
1685,1,2,267253
1198,4,3,256809
1543,4,3,324735
1422,1,1,218404
2083,5,1,292409
1627,4,3,311186
1668,4,2,295341
1294,5,2,251653
1256,4,1,230907
1283,4,2,249792
1697,4,3,330051
1289,2,1,193775
1644,5,3,290975
2537,4,1,318063
1935,5,1,314642
1336,3,1,222298
2100,3,1,309773
1295,4,2,255139
500,5,3,209291
995,5,3,278830
564,5,3,220932
1324,2,1,226458
1509,3,2,269419
2338,5,3,401172
1663,5,2,306814
1390,2,1,196176
1914,2,3,322943
500,5,2,178551
1617,1,1,231156
1885,5,2,325221
760,5,3,205836
2071,2,3,360538
1669,2,1,260274
1292,5,1,264993
1816,5,1,298595
2635,5,2,409879
1590,2,2,244639
1624,5,2,328480
1270,5,1,234656
1075,4,3,262117
1915,1,3,315568
1071,3,2,211450
1535,1,2,262615
1261,4,3,258281
1739,3,3,353798
1666,5,2,331410
2018,4,2,324898
1244,5,3,269562
1365,2,1,169845
1010,4,2,196071
1277,2,3,275068
1688,4,3,331986
1878,4,3,356453
1038,2,3,197268
1934,3,1,274823
2177,1,3,376815
1706,5,2,305739
2438,4,1,322734
1113,5,3,270197
877,2,1,141049
610,5,2,193773
2248,2,3,367690
1827,5,2,331835
1472,1,3,247561
1639,1,3,281315
937,1,3,234878
2722,1,3,382334
1564,1,3,261977
1554,1,1,224925
1862,2,3,330554
1740,4,3,321623
1611,5,1,261641
1104,1,1,182104
1735,2,1,267842
2441,2,1,307125
2172,2,1,306206
2296,4,1,362800
1244,5,3,284522
1005,4,3,228953
1437,3,2,235548
1527,2,3,284755
2047,3,3,375886
653,1,1,121014
2264,1,1,302824
1420,4,3,276273
1286,5,2,281122
993,3,1,156316
672,5,3,213830
1911,4,3,362808
1536,1,2,208171
855,5,2,217529
852,5,1,162938
1332,1,2,226850
2334,3,3,379698
1370,1,3,302816
748,5,2,194417
1377,3,2,288323
1363,3,2,261669
500,1,2,118970
1472,5,1,258536
1384,4,2,256151
1848,5,1,298123
2424,2,3,372362
2063,4,2,370733
1365,3,1,238657
946,4,2,214695
2786,3,3,471042
1529,3,3,299675
1506,4,3,327612
1487,3,2,264336
1599,3,2,283767
1427,2,1,215341
1213,5,3,285336
1226,5,2,258270
1483,2,3,269735
1228,4,3,267058
1143,1,1,171394
1553,1,1,225424
1372,1,1,200308
2251,2,1,331070
500,2,3,191942
2045,3,1,291023
2123,1,1,311165
500,4,1,172460
1328,4,1,185203
1314,1,3,273185
796,1,1,123700
1111,1,3,248224
944,2,2,218604
2376,2,3,363820
1967,2,3,299323
2135,5,1,341558
1860,4,2,317308
935,4,2,179481
1237,3,2,286661
1744,2,2,294328
888,5,3,261082
1856,5,2,351476
1379,4,3,280073
1312,2,3,266929
1855,3,3,307663
1722,2,2,267261
1319,1,1,202803
2079,2,1,255384
959,1,2,172764
1807,1,1,230211
1796,3,1,270401
1345,4,3,299444
1663,2,3,317773
874,1,2,196116
1962,2,2,333262
1407,4,1,246914
1238,4,3,313926
2024,5,2,345030
1147,4,2,232703
795,3,2,199596
721,1,2,154981
1803,5,2,355381
859,3,2,217109
2377,2,1,336475
500,1,3,167628
2348,4,3,390130
1605,1,2,270576
1451,2,3,257068
1227,5,3,315657
1699,5,3,333337
1481,5,2,289012
2051,4,2,317417
1557,3,3,315729
1575,3,3,294175
1318,1,2,237964
1471,4,1,256957
1653,5,3,318877
644,5,1,138369
825,2,3,241387
1871,2,1,261964
1585,5,1,268846
1408,5,1,254589
1509,4,2,250915
1673,3,1,263283
1230,2,1,197282
1110,3,1,179229
1597,4,3,292539
1010,5,1,213217
1704,3,3,339994
648,5,1,164851
2014,5,1,282850
1736,1,2,249813
1628,3,3,300437
1991,3,1,320302
2332,5,3,401584
2007,4,3,351398
579,1,2,110220
860,5,2,201466
1187,2,2,195911
1513,2,2,236366
1758,1,2,275779
1137,4,2,227046
1593,5,2,329219
1122,3,2,244980
1194,1,1,169162
796,4,3,209223
1038,3,2,241832
824,2,2,213840
1012,2,3,187435
2026,3,1,294717
1025,1,3,217712
2816,2,3,442742
1746,5,2,350913
1592,3,3,295438
1070,3,3,206486
1850,2,2,305080
1212,1,2,241119
1561,5,2,285634
2780,1,2,371699
1451,4,3,290864
2074,4,3,385144
1148,2,1,177190
1482,2,1,229595
2385,2,3,382906
1186,4,1,208952
2406,1,3,388685
1853,1,1,244258
1218,2,2,215368
1816,5,1,305712
1986,1,2,278721
1810,4,2,291495
714,3,2,153333
1136,3,2,241940
1376,3,1,219255
1462,5,3,284547
1810,2,2,306176
1588,4,1,243569
832,5,2,194086
1690,4,1,261986
1805,4,1,308124
1779,2,1,247790
2040,3,3,365906
1916,2,1,285301
1729,5,1,289055
1464,5,3,336461
669,5,3,209447
1714,2,1,227673
1603,4,3,295070
1635,4,2,286960
861,1,2,155769
959,5,3,258440
2026,4,3,364399
1480,1,1,233171
1840,4,3,348222
1514,5,1,248216
1514,3,2,274756
1969,5,3,345986
1241,2,1,195747
1548,4,1,256668
1268,4,2,252066
1282,2,3,269321
1345,2,2,225069
1611,3,1,270250
1260,4,1,255043
2127,4,3,341916
1052,3,1,161408
1406,1,3,265521
1280,3,2,235668
2223,5,3,432458
1598,4,3,320175
2015,2,1,309500
757,5,1,132287
1633,4,3,335913
1944,3,1,269529
1541,5,1,244879
2032,4,1,298552
1241,1,3,218018
2204,1,1,301295
2649,2,3,415204
1318,4,1,230303
1277,1,2,238210
2226,3,1,345155
2289,4,1,324515
1238,3,3,275727
1289,3,3,277649
1359,1,1,207042
827,4,2,208821
1040,5,1,236210
997,1,1,150476
1116,1,2,172245
1482,4,3,289062
1617,4,1,273015
2275,3,3,380716
1000,4,3,240648
1992,3,2,297590
1393,1,2,237655
1475,2,3,295140
1837,5,1,298187
938,1,3,208113
1691,4,1,268942
1583,5,1,266946
1746,2,2,285853
1644,2,1,217153
2727,3,1,373916
1181,5,3,271098
1234,3,2,256552
1188,1,1,183338
1222,5,1,241129
1181,1,2,203874
2094,3,3,355025
2210,5,2,392985
1214,3,2,242266
1083,5,1,194839
1735,3,1,278789
1223,2,3,243863
1816,3,1,274273
1601,2,1,272843
742,3,2,152994
2273,5,1,336514
2397,5,3,421835
1193,5,2,266523
1306,4,3,258835
1642,1,2,229904
1667,5,1,295184
1829,2,2,276781
2505,5,2,380304
1411,4,1,266214
1100,2,1,182394
810,4,3,230624
1134,2,3,241144
1483,3,1,208650
2397,1,1,327183
1241,1,1,194699
1611,4,2,290583
1491,1,2,241683
2094,4,2,334493
2763,4,1,402179
1234,4,3,272914
1255,1,1,186768
2022,4,2,343017
1840,1,2,286559
2423,4,1,379375
1791,5,1,251782
1320,4,2,261198
1795,2,2,273337
2054,4,2,317098
1910,3,1,270958
1753,4,2,303923
2033,2,2,315611
2084,2,3,318893
2191,1,1,280188
1824,5,3,356264
1416,4,3,278221
1573,1,2,230734
2103,5,1,276207
1091,4,2,216746
1684,3,1,232247
1303,4,3,263651
1514,2,1,221103
2139,2,2,313293
1595,3,2,252125
1523,1,2,205213
820,5,1,186246
1873,4,3,361086
1822,2,3,312485
2581,1,1,328594
1346,3,2,248116
1609,2,3,328565
1624,3,2,247285
2288,4,1,323390
1452,5,2,245280
1639,2,3,307536
1803,2,3,315450
1593,4,2,289289
1276,1,1,193422
1597,5,2,315484
2036,2,1,294722
986,5,2,245070
1566,2,3,270949
1149,5,1,240253
2097,3,1,286222
738,2,1,127882
1220,5,3,289616
1688,1,2,271718
2282,3,3,359582
1467,3,1,227904
1222,1,2,244184
2440,5,3,389033
775,4,1,194954
500,1,1,100166
1720,5,3,292444
1248,1,3,219945
989,1,3,199520
1854,2,1,251461
1621,5,3,326215
1217,4,1,159800
859,2,3,218226
1936,1,1,241858
1825,1,1,278560
1450,1,2,234096
2423,5,3,435386
964,5,3,278246
737,2,1,162735
1154,4,1,195611
1477,2,1,210885
1621,3,2,273810
1379,1,2,244414
1676,1,1,224146
874,1,3,203754
2221,2,3,369781
1458,2,2,232282
2058,1,2,287017
1671,2,1,240644
1728,5,3,339563
1784,5,1,294917
1723,2,2,292967
1821,1,3,288328
2164,2,3,341798
1598,2,2,246364
1854,2,1,292188
1455,3,1,227644
2220,5,3,394522
1161,4,2,238865
2400,4,3,389686
1479,3,2,293975
784,2,1,154460
1564,3,2,272831
1159,3,1,175384
1920,1,2,267961
1173,5,3,272851
1276,4,1,206360
555,2,3,159701
1273,4,3,272610
500,4,1,130671
708,5,1,170715
1880,4,3,336721
1892,4,3,327967
1712,3,3,298861
1016,5,3,286019
1476,1,1,187324
1498,2,1,232043
920,4,3,251590
2251,2,2,335184
1938,1,2,328536
1389,2,1,222824
1513,1,3,313288
1604,3,3,293418
500,4,1,122321
1376,1,2,241910
1159,2,2,212260
999,4,2,253603
1359,3,1,226324
2398,4,2,352888
1820,1,1,215463
1214,3,1,201975
1786,2,3,314677
